30
0 0 0 2 0.0
1 1 5 0 0.2
2 1 5 0 0.9
3 1 2 0 0.5
4 1 2 0 0.5
5 1 4 0 0.5
6 1 7 0 0.3
7 1 3 0 0.9
8 1 1 0 0.2
9 1 5 0 0.8
10 1 4 0 0.6
11 1 4 0 0.3
12 1 3 0 0.6
13 1 7 0 0.3
14 1 1 0 1.0
15 1 5 0 0.3
16 1 1 0 0.3
17 1 3 0 0.6
18 1 2 0 0.9
19 1 4 0 0.8
20 1 1 0 0.9
21 1 5 0 0.3
22 1 2 0 0.5
23 1 1 0 0.4
24 1 3 0 0.7
25 1 4 0 0.9
26 1 1 0 1.0
27 1 7 0 0.4
28 1 7 0 0.8
29 1 2 0 0.7
49
0 5
0 1
1 6
1 2
2 7
2 3
3 8
3 4
4 9
5 10
5 6
6 11
6 7
7 12
7 8
8 13
8 9
9 14
10 15
10 11
11 16
11 12
12 17
12 13
13 18
13 14
14 19
15 20
15 16
16 21
16 17
17 22
17 18
18 23
18 19
19 24
20 25
20 21
21 26
21 22
22 27
22 23
23 28
23 24
24 29
25 26
26 27
27 28
28 29
